kode_satker,kementerian,nama_satker,kode_barang,nup,koordinat,luas,jenis_barang,nama_barang,SURAT JAWABAN PENGGUNA BARANG,TANGGAL SURAT JAWABAN PENGGUNA BARANG,HASIL JAWABAN,PEMETAAN AWAL BERBASIS KEYWORD,TAHAP_BERIKUT,PENYAMPAIAN_KLARIFIKASI_REKAP,FLAG_REKONSILIASI_D_E,CATATAN_REKONSILIASI,id
004012200579220000KD,BADAN PEMERIKSA KEUANGAN,BPK RI PERWAKILAN PROVINSI BALI (01),4010201010,6,"-8.67538846930503, 115.24614588732027",50.0,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,74/B/S/DJPKN-VI.DPS/BMN.01/02/2026,46076.0,Rumah Dinas Golongan 1 Tipe D Permanen berstatus baik dan dihuni oleh Analis Pengelolaan Keuangan,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-16
063012200432954000KD,BADAN PENGAWAS OBAT DAN MAKANAN,Balai Besar POM Denpasar,2010104001,9,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,PL.03.01.34B.07.26.579,46227.0,"telah di Transfer Keluar ke Balai POM di
Buleleng sesuai Berita Acara nomor PL.03.03.17A.17A5.08.22.130 tanggal 10
Agustus 2022 sebagaimana terlampir",Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-17
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,2010101002,3,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,PL.04/S-699/PW22/1/2026,46160.0,Tempat untuk parkir penghuni rumah dinas,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-18
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,2010101002,5,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,PL.04/S-699/PW22/1/2026,46160.0,Tempat untuk parkir penghuni rumah dinas,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-19
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,4010100000000000,6,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,PL.04/S-699/PW22/1/2026,46160.0,"Surat ijin Penghunian KP.05.02/KEP-422 PW22/1/2C25
dengan 23 Desember 2027",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-20
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,4010100000000000,7,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,PL.04/S-699/PW22/1/2026,46160.0,Surat Ijin Penghunian KP.05.02/KIEP-106/PW22/1/2C25 sampai dengan 17 April 2027,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-21
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,4010100000000000,8,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,PL.04/S-699/PW22/1/2026,46160.0,"Surat Ijin Pengtunian KP.05.02/KEP-88/PW22/1/2025 sampai
dengan 17 April 2027",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-22
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,4010100000000000,9,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,PL.04/S-699/PW22/1/2026,46160.0,"Surat Ijin Pengtunian KP.05.02/KEP-88/PW22/1/2025 sampai
dengan 28 Februari 2027",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-23
08901220050649000KD,BADAN PENGAWASAN KEUANGAN DAN PEMBANGUNAN,Perwakilan BPKP Prov Bali,4010100000000000,10,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,PL.04/S-699/PW22/1/2026,46160.0,"Surat Ijin Pengtunian KP.05.02/KEP-88/PW22/1/2025 sampai
dengan 28 Februari 2027",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-24
006012200008678000KD,KEJAKSAAN AGUNG,KEJAKSAAN TINGGI BALI,2010101006,1,"-8.654303, 115.143841",120.0,Tanah Mess/Asrama,Tanah Bangunan Peristirahatan/Bungalaow/Cottage,B- 5893/N.1/Cpl.3/12/2025,46020.0,BMN berupa Tanah Bangunan Peristitarahata/Bungalow/Cottage beserta BMN BMN berupa Bangunan Rumah Negara Golongan II Tipe C Permanen yang berdiri di atas tanah tersebut telah diajukan permohonan petunjuk pengelolaan kepada pengelola barang dengan surat nomor B-3988/N.1/Cpl.3/09/2025 dan akan dilakukan pemanfaatan berupa sewa,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-25
006012200008750000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI KLUNGKUNG,4010202010,1,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,B- 3569 /N.1.12/Cpl.3/12/2025.,46021.0,telah dihapuskan berdasarkan surat Nomor : KEP-X- 453/C/Cpl.3/08/2021 tanggal 05 Agustus 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-26
006012200008746000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI TABANAN,4010202010,1,"-8.31551, 115.08056",50.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,B- 4306/N.1.17/Cpl.3/12/2025,46020.0,Dipergunakan untuk Rumah Dinas Pejabat/Pegawai Kejaksaan Negeri Tabanan,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-27
006012200008746000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI TABANAN,4010202007,1,"-8.541051, 115.131679",84.0,Rumah Negara,Rumah Negara Golongan II Tipe C Permanen,B- 4306/N.1.17/Cpl.3/12/2025,46020.0,Dipergunakan untuk Rumah Dinas Pejabat/Pegawai Kejaksaan Negeri Tabanan,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-28
006012200008725000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI GIANYAR,4010202010,1,,48.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,B - 118/N.1.15/Cpl.3/01/2026,46029.0,dalam kondisi rusak berat dan pada saat ini kami sedang dalam proses pengajuan ke Kejaksaan Agung RI untuk mengalihfungsikan menjadi Bangunan Gedung Barang Bukti dikarenakan kebutuhan dari satuan kerja.,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-29
006012200008678000KD,KEJAKSAAN AGUNG,KEJAKSAAN TINGGI BALI,4010202007,1,,,Rumah Negara,Rumah Negara Golongan II Tipe C Permanen,B- 5893/N.1/Cpl.3/12/2025,46020.0,"Barang Milik Negara (BMN) berupa Rumah Negara Golongan II Tipe C Permanen telah
dilakukan penghapusan dengan Surat Keputusan nomor : KEP-X-816/C/Cpl/11/2020",Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-30
006012200008682000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI DENPASAR,2010101001,1,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan I,B-51/N.1.10/Cpl.3/01/2026,46027.0,Barang Milik Negara (BMN) berupa 1 (dua) unit Bangunan Rumah Negara Golongan I tipe A permanen tersebut sudah dilakukan pemanfaatan berupa sewa sejak tahun bulan November 2025 hingga saat ini dengan Lampiran Surat Keputusan Kepala Kejaksaan Negeri Denpasar Nomor : KEP-72/N.1.10/Cpl.3/11/2025.,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-31
006012200008750000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI KLUNGKUNG,4010202010,2,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,B- 3569 /N.1.12/Cpl.3/12/2025.,46021.0,telah dihapuskan berdasarkan surat Nomor : KEP-X- 453/C/Cpl.3/08/2021 tanggal 05 Agustus 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-32
006012200008725000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI GIANYAR,4010202010,2,,48.0,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,B - 118/N.1.15/Cpl.3/01/2026,46029.0,dalam kondisi rusak berat dan pada saat ini kami sedang dalam proses pengajuan ke Kejaksaan Agung RI untuk mengalihfungsikan menjadi Bangunan Gedung Barang Bukti dikarenakan kebutuhan dari satuan kerja.,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-33
006012200008678000KD,KEJAKSAAN AGUNG,KEJAKSAAN TINGGI BALI,4010201001,2,,,Rumah Negara,Rumah Negara Golongan I Tipe A Permanen,B- 5893/N.1/Cpl.3/12/2025,46020.0,"Barang Milik Negara (BMN) berupa Rumah Negara Golongan I Tipe A Permanen telah
dilakukan proses transfer keluar dari Kejaksaan Tinggi Bali ke Kejaksaan Negeri Denpasar
dengan Surat Keputusan nomor : KEP-48/N.1/Cpl.3/5/2021",Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-34
006012200008746000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI TABANAN,2010104001,2,"-8.53697, 115.117618",1980.0,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,B- 4306/N.1.17/Cpl.3/12/2025,46020.0,Disewakan,Tidak digunakan/berpotensi idle,PENELITIAN,SUDAH,-,-,BMN-35
006012200008750000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI KLUNGKUNG,4010202010,3,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,B- 3569 /N.1.12/Cpl.3/12/2025.,46021.0,telah dihapuskan berdasarkan surat Nomor : KEP-X- 453/C/Cpl.3/08/2021 tanggal 05 Agustus 2021,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-36
006012200008682000KD,KEJAKSAAN AGUNG,KEJAKSAAN NEGERI DENPASAR,2010101002,3,"-8.6998402, 115.2266601",250.0,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,B-51/N.1.10/Cpl.3/01/2026,46027.0,"Barang Milik Negara (BMN) berupa Tanah Bangunan Rumah Negara Golongan I beserta Barang Milik Negara (BMN) berupa 2 (dua) unit Bangunan Rumah Negara Golongan Il tipe D permanen yang berdiri diatas tanah tersebut sudah dilakukan pemanfaatan berupa sewa sejak tahun 2023 hingga saat ini, dan penghuni dari awal masih sama hingga saat ini.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-37
006012200008678000KD,KEJAKSAAN AGUNG,KEJAKSAAN TINGGI BALI,4010201004,4,,,Rumah Negara,Rumah Negara Golongan I Tipe B Permanen,B- 5893/N.1/Cpl.3/12/2025,46020.0,Barang Milik Negara (BMN) berupa Rumah Negara Golongan II Tipe C Permanen telah dilakukan penghapusan dengan Surat Keputusan nomor : KEP-X-816/C/Cpl/11/2020,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-38
006012200008678000KD,KEJAKSAAN AGUNG,KEJAKSAAN TINGGI BALI,4010201004,9,,,Rumah Negara,Rumah Negara Golongan I Tipe B Permanen,B- 5893/N.1/Cpl.3/12/2025,46020.0,Barang Milik Negara (BMN) berupa Rumah Negara Golongan II Tipe C Permanen telah dilakukan penghapusan dengan Surat Keputusan nomor : KEP-X-816/C/Cpl/11/2020.,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-39
025012200419910000KD,KEMENTERIAN AGAMA RI,Kemenag Kab. Klungkung,2010101002,1,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,B-151/Kk.18.3.1/KS.00/03/2026,46106.0,"disesuaikan peruntukkannya menjadi Tanah Lapangan Parkir Lainnya dengan kode
barang 2010302999",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-40
