kode_satker,kementerian,nama_satker,kode_barang,nup,koordinat,luas,jenis_barang,nama_barang,SURAT JAWABAN PENGGUNA BARANG,TANGGAL SURAT JAWABAN PENGGUNA BARANG,HASIL JAWABAN,PEMETAAN AWAL BERBASIS KEYWORD,TAHAP_BERIKUT,PENYAMPAIAN_KLARIFIKASI_REKAP,FLAG_REKONSILIASI_D_E,CATATAN_REKONSILIASI,id
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,2,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-103
015042800410016001KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010101001,2,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-562/KPP.1708/2026,46230.0,BMN saat ini berdiri di atas tanah milik Pemerintah Kabupaten Jembrana. Gedung tidak ada rencana untuk dilakukan pemanfaatan dan akan dihapuskan karena kondisi Rusak Berat.,Kendala hukum/kepemilikan,PENELITIAN,SUDAH,-,-,BMN-104
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,2,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-105
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN,2010104001,3,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,ND-562/KPP.1708/2026,46230.0,Tidak ada rencana penggunaan dan pemanfaatan BMN Tanah dikarenakan posisi tanah yang tidak strategis jika dijadikan tempat pelayanan dan tidak optimal jika dimanfaatkan menjadi rumah negara /mess.,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-106
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010202013,3,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-562/KPP.1708/2026,46230.0,Digunakan sendiri untuk operasional,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-107
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,3,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-108
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,2010101002,3,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,ND-554/KBC.1302/2026,46155.0,dalam rangka mendukung rencana strategis organisasi terkait pembangunan kantor yang membawahi wilayah kerja Bali Utara,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-109
015042800410016001KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN/KP2KP NEGARA,4010101001,3,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-562/KPP.1708/2026,46230.0,Digunakan sendiri untuk operasional,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-110
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,4,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-111
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,4,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,Difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-112
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,5,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-113
015042800525584000KD,KEMENTERIAN KEUANGAN,KANWIL DJP BALI,2010101004,5,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Dalam Proses Penggolongan,ND-1511/WPJ.17/2026,46233.0,Lokasi Kemuning. Akan dikoordinasikan ke Pengelola Barang dan BPN. Sengketa dikuasai pihak ketiga,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-114
015042800525606000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA GIANYAR,4010101001,5,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-882/KPP.1707/2026,46230.0,"Bangunan Gedung Kantor Permanen dengan NUP 5 digunakan sebagai Pos Pajak
Klungkung.",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-115
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,6,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-116
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,2010101002,6,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Golongan II,ND-554/KBC.1302/2026,46155.0,belum ada rencana pengunaan ,Tindak lanjut sedang/akan diproses,PEMANTAUAN,SUDAH,-,-,BMN-117
015082000528544000KD,KEMENTERIAN KEUANGAN,KANWIL DJPB PROP. BALI,4010202007,7,,,Rumah Negara,Rumah Negara Golongan II Tipe C Permanen,ND-622/WPB.22/2026,46227.0,Dihuni oleh Kepala Bidang PPA II Kanwil DJPB Bali Sesuai Kep-86/WPB.22/2025 tangal 30 Juni 2025,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-118
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,7,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-119
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,7,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,Difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-120
015042800410016000KD,KEMENTERIAN KEUANGAN,KPP PRATAMA TABANAN,4010299999,8,,,Rumah Negara,Bangunan Gedung Tempat Tinggal Lainnya,ND-562/KPP.1708/2026,46230.0,"tidak terdapat nup 8 untuk kode aset dimaksud, namun ada nup 12: BMN statusnya tidak aktif dan sudah direklas menjadi Rumah Negara Golongan I Tipe C Permanen",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-121
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010101001,8,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,ND-554/KBC.1302/2026,46155.0,difungsikan sebagai kantor bantu dan masih digunakan untuk mendukung tugas dan fungsi unit kerja,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-122
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202013,9,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-123
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202013,10,,,Rumah Negara,Rumah Negara Golongan II Tipe E Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-124
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,10,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-125
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,11,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-126
015051200561115000KD,KEMENTERIAN KEUANGAN,KPPBC TIPE MADYA PABEAN A DENPASAR,4010202010,12,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-554/KBC.1302/2026,46155.0,telah dihapuskan dari Daftar Barang Kuasa Pengguna pada KPPBC TMP A Denpasar,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-127
015051200532572000KD,KEMENTERIAN KEUANGAN,"KANTOR WILAYAH DJBC BALI, NTB DAN NTT",4010202007,18,,,Rumah Negara,Rumah Negara Golongan II Tipe C Permanen,ND-691/WBC.13/2026,46234.0,Direncanakan digunakan untuk tusi KPPBC TMP A Denpasar,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-128
015042800525584000KD,KEMENTERIAN KEUANGAN,KANWIL DJP BALI,4010202010,31,,,Rumah Negara,Rumah Negara Golongan II Tipe D Permanen,ND-1511/WPJ.17/2026,46233.0,"Dobel Catat, Sudah dikoreksi ",Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-129
040012200427910000KD,KEMENTERIAN PARIWISATA,Sekolah Tinggi pariwisata Bali,4010101001,2,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,B/SD/960/PL.02.04/PTP.2/2026,46232.0,"Digunakan sebagai ruang kerja oleh Dosen dan Tenaga
Pendidik",Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-130
040012200427910000KD,KEMENTERIAN PARIWISATA,Sekolah Tinggi pariwisata Bali,4010101001,3,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,B/SD/960/PL.02.04/PTP.2/2026,46232.0,"Berdasarkan hasil penelusuran administrasi dan pencatatan
Barang Milik Negara (BMN), diketahui bahwa terdapat
kesalahan pencatatan atas Gedung Kantor Permanen NUP 3,
yaitu Gedung Aula Joop Ave. Untuk menyesuaikan pencatatan
dengan fungsi dan kondisi penggunaannya, pada tahun 2025
telah dilakukan reklasifikasi dari Gedung Kantor Permanen NUP
3 menjadi Gedung Pertemuan Permanen NUP 1. Bukti atas
pelaksanaan reklasifikasi tersebut telah dilampirkan sebagai
bukti pendukung.",Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-131
033042200498646000KP,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,SATKER PELAKSANAAN JALAN NASIONAL WIL.II PROV. BALI,4010204001,1,,,Bangunan Mess/Asrama,Mess/Wisma/Bungalow/Tempat Peristirahatan Permanen,PS 0502/B/Bbpjn5.14/2026/1940,46230.0,telah dilakukan pemindahtanganan dengan cara hibah antara kementerian PUPR dengan Pemprov Bali,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-132
033062200633920000KP,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,SATKER BWS BALI PENIDA,2010104001,1,,,Tanah Bangunan Kantor,Tanah Bangunan Kantor Pemerintah,PS0601/T/Bws8.5/2026/ 09,46233.0,perubahan nup,Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-133
033112200279945000KP,KEMENTERIAN PEKERJAAN UMUM DAN PERUMAHAN RAKYAT,BALAI LITBANG PERUMAHAN WILAYAH II DENPASAR,4010101001,4,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,PS.02.01/BP10.5/943/2026,46111.0,"Satker berubah menjadi Satuan Kerja Perumahan dan Kawasan permukiman, digunakan sesuai tuga dan fungsi pada satker Perumahan dan Kawasan Permukiman provinsi Bali ",Belum ada hasil jawaban,DATA TIDAK LENGKAP,SUDAH,-,-,BMN-134
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101005,1,,,Tanah Mess/Asrama,Tanah Bangunan Mess/Wisma/Asrama,B/1757/UN14/PL.10.02/2026,46149.0,Digunakan untuk Bangunan Gedung Asrama Mahasiswa sesuai KIB Nomor 2,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-135
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,4010201001,1,,,Rumah Negara,Rumah Negara Golongan I Tipe A Permanen,B/1757/UN14/PL.10.02/2026,46149.0,Sudah dihapuskan dari pencatatan sesuai Sk Nomor 725/UN14/HK/2024 tanggal 14 Mei 2024,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-136
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,1,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-137
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101002,1,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Gol II,B/1757/UN14/PL.10.02/2026,46149.0,"Dimanfaatkan untuk perumahan pegawai UNUD (Pasraman UNUD), dimana bangunan rumah
dibangun sendiri olch pegawai dan dosen sesuai Surat Keputusan Rektor Universitas Udayana Nomor 2282/314/LK.00.03/2004, Nomor 67/314/LK.00.03/2005 (16 Maret 2005), Nomor 223/J14/L.K.00.03/2005 (15 September 2005 Tentang pemanfaatan tanah untuk perumahan di Kampus Bukit Jimbaran.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-138
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101002,1,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Gol II,B/1757/UN14/PL.10.02/2026,46149.0,"Dimanfaatkan untuk perumahan pegawai UNUD (Pasraman UNUD), dimana bangunan rumah
dibangun sendiri olch pegawai dan dosen sesuai Surat Keputusan Rektor Universitas Udayana Nomor 2282/314/LK.00.03/2004, Nomor 67/314/LK.00.03/2005 (16 Maret 2005), Nomor 223/J14/L.K.00.03/2005 (15 September 2005 Tentang pemanfaatan tanah untuk perumahan di Kampus Bukit Jimbaran.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-139
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101001,1,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Gol I,B/1757/UN14/PL.10.02/2026,46149.0,"Akan dikerjasamakan dalam bentuk BGS, saat ini sedang tahap penilaian nilai wajar tanah oleh KPKNL Denpasar, susuai surat permohonan penilaian Nomor B/2319/UN14/PL.13./2026 tanggal 16 Maret 2026.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-140
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101005,2,,,Tanah Mess/Asrama,Tanah Bangunan Mess/Wisma/Asrama,B/1757/UN14/PL.10.02/2026,46149.0,"Akan dikerjasamakan dalam bentuk BGS, saat ini sedang tahap penilaian nilai wajar tanah oleh KPKNL. Denpasar, susuai surat permohonan penilaian Nomor B/2319/UN14/PL.13./2026 tanggal 16 Maret 2026.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-141
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,2,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-142
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101002,2,,,Tanah Rumah Negara,Tanah Bangunan Rumah Negara Gol II,B/1757/UN14/PL.10.02/2026,46149.0,Dimanfaatkan oleh tenaga Pendidik Unud untuk rumah dinas Sesuai SK Rektor 2388A/J14/LK.01.04/2001 tgl 9 Juli 2001.,Digunakan/dimanfaatkan—indikasi tidak idle,PENELITIAN,SUDAH,-,-,BMN-143
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101005,3,,,Tanah Mess/Asrama,Tanah Bangunan Mess/Wisma/Asrama,B/1757/UN14/PL.10.02/2026,46149.0,"Sudah terdapat Bangunan Gedung Mes Student Dormytori sesuai KIB Nomor 1, dan dipergunakan untuk praktikum mahasiswa Fakultas Pariwisata.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-144
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,3,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-145
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101005,4,,,Tanah Mess/Asrama,Tanah Bangunan Mess/Wisma/Asrama,B/1757/UN14/PL.10.02/2026,46149.0,Sudah dikerjasamakan dalam bentuk BGS sesuai perjanjian Nomor 1 tanggal 8 Juli 2022.,Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-146
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,4,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-147
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,5,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-148
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,6,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-149
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101005,7,,,Tanah Mess/Asrama,Tanah Bangunan Mess/Wisma/Asrama,B/1757/UN14/PL.10.02/2026,46149.0,"Sebagian sudah dimanfaatkan untuk Bangunan Gedung SPBU seluas 4.056 M2, Bangunan Soung suas 275l as 9,056 m2, dan Stadion Sepakbola seluas 2750m2",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-150
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,7,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-151
023172200677526000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Universitas Udayana,2010101005,8,,,Tanah Mess/Asrama,Tanah Bangunan Mess/Wisma/Asrama,B/1757/UN14/PL.10.02/2026,46149.0,"Sudah dikerjasamakan dengan Pihak Genah Ring Jimbaran sesuai perjanjian nomor: 15709/UN14/KS/2018, 09/GRJ/NK/28/GRJ/PKS/18.",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-152
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,8,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-153
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,9,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-154
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,10,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-155
023032200419544000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,LPMP Provinsi Bali,4010101001,10,,,Bangunan Gedung Kantor,Bangunan Gedung Kantor Permanen,0378/B/C6.18/LK.05.05/2026,46108.0,"Satker LPMP telah dilikuidasi mendadi BPMP Provinsi Bali, NUP Berubah dari nomor 10 menjadi nomor 5, disewakan untuk kegiatan pelatihan ",Anomali data/pencatatan atau perubahan organisasi,PENELITIAN,SUDAH,-,-,BMN-156
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,11,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-157
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,12,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-158
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,13,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-159
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,14,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-160
023182200677608000KD,KEMENTERIAN PENDIDIKAN DAN KEBUDAYAAN,Politeknik Negeri Bali,4010202001,15,,,Rumah Negara,Rumah Negara Golongan 2 Tipe A Permanen,09324/DST/PL8/DV.05.00/2026,46141.0,Sudah Dihapuskan dari catatan sesuai SK Penghapusan Nomor 3669/PL8/KL/2022 Tanggal 16 September 2022,Tindak lanjut final telah selesai,PENELITIAN,SUDAH,-,-,BMN-161
022042200287612000KD,KEMENTERIAN PERHUBUNGAN,DISTRIK NAVIGASI BENOA,4010201010,1,,,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,PL.202/61/DNG.Bna/2026,46225.0,"Penghapusan BMN
Persetujuan Penghapusan Nomor : S-146/MK.6/KNL.1401/2022
tanggal 18 Oktober 2022",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-162
022042200287612000KD,KEMENTERIAN PERHUBUNGAN,DISTRIK NAVIGASI BENOA,4010201010,2,,,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,PL.202/61/DNG.Bna/2026,46225.0,"Penghapusan BMN
Persetujuan Penghapusan Nomor : S-146/MK.6/KNL.1401/2022
tanggal 18 Oktober 2022",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-163
022042200287612000KD,KEMENTERIAN PERHUBUNGAN,DISTRIK NAVIGASI BENOA,4010201010,3,,,Rumah Negara,Rumah Negara Golongan I Tipe D Permanen,PL.202/61/DNG.Bna/2026,46225.0,"Penghapusan BMN
Persetujuan Penghapusan Nomor : S-146/MK.6/KNL.1401/2022
tanggal 18 Oktober 2022",Lainnya/perlu telaah manual,PENELUSURAN,SUDAH,-,-,BMN-164
